,CNN Acc (%),BFD down,Hamming Div (%),Uniqueness (%),Novelty (%),Recall (%),"H-Mean(R,N)"
Ours,89.85,2.319294265009603,18.64553941696799,49.45,84.89999999999999,60.56910569105691,70.699782592415
MADE,80.47999999999999,2.3586719015272015,14.20400604686319,57.76,97.99,31.70731707317073,47.91155391785295
NADE,99.18,0.8808024546401167,9.870405098976532,48.809999999999995,55.169999999999995,73.78048780487805,63.13228559976917
PixelRNN,88.77000000000001,3.3316414504092506,9.471406099977528,45.019999999999996,58.040000000000006,33.02845528455284,42.09957308937811
PixelCNN,79.32000000000001,3.9727304130729024,10.576125104696535,24.92,99.88,8.94308943089431,16.41629137751589
CVAE,95.89,0.29573381441785696,10.052781352781354,12.790000000000001,38.51,86.99186991869918,53.38656567766835
RBM,98.9,0.8983485757944356,9.373914731057589,47.620000000000005,55.08,66.26016260162602,60.1550167367021
