,CNN Acc (%),FID,Novelty (%),Hamming Diversity
HQRNN,89.53999999999999,2.3187614112238464,88.66869918699187,21.577679720536867
noGapMatching,83.21,2.673274398860263,89.63414634146342,18.906935506935504
noAutoregressive,82.26,2.6359461622375386,88.97357723577237,19.92908010050867
noMMD,83.21,3.652134795086684,88.8719512195122,23.84678556107128
noFFF,86.61999999999999,2.551852846900765,85.01016260162602,22.557063185634608
noAdaptiveWeighting,87.7,2.6784894298927586,85.619918699187,21.09787338358767
