,CNN Acc (%),BFD down,Hamming Div (%),Uniqueness (%),Novelty (%),Recall (%),"H-Mean(R,N)"
Ours,89.85,2.319294265009603,18.64553941696799,49.45,84.89999999999999,60.56910569105691,70.699782592415
noGapMatching,83.22,2.6754963531918428,17.01985863414435,57.699999999999996,90.25999999999999,57.82520325203252,70.49053829652726
noMMD,85.38,3.282377493839168,21.22832219975077,76.42999999999999,88.99000000000001,52.235772357723576,65.83021362852095
noFFF,86.96000000000001,2.5481290546854716,20.048466834181124,68.27,85.87,56.605691056910565,68.23242133398352
noAdaptiveWeighting,88.28,2.6799107858907663,17.91477191477192,63.49,81.57,52.642276422764226,63.98863952276363
